dataset,model,n_features,n_samples,backend,library,computation_type,approximator,budget,n_eval,runtime_s,n_model_evals,mean_abs_diff,relative_mae,sign_agreement,mean_sample_rho,reference_backend
gisette,linear_regularized,4,1000,shapiq_approx,shapiq,approximation,kernel,512.0,100,3.4872,160201.0,0.0592714476236122,0.0951597633707091,0.9975,0.994,shap_true_value
gisette,linear_regularized,4,1000,shapiq_approx,shapiq,approximation,permutation,512.0,100,125.3197,5120201.0,0.0494593290524607,0.0794064973576119,1.0,0.996,shap_true_value
gisette,linear_regularized,4,1000,lightshap_approx,lightshap,approximation,kernel,512.0,100,0.1511,240300.0,0.0483767480738687,0.077668423565208,0.9975,0.996,shap_true_value
gisette,linear_regularized,4,1000,lightshap_approx,lightshap,approximation,permutation,512.0,100,0.1944,240300.0,0.0483767480738687,0.077668423565208,0.9975,0.996,shap_true_value
gisette,linear_regularized,4,1000,dalex_approx,dalex,approximation,permutation,512.0,100,39.0786,12820301.0,0.0483767480738687,0.0776684235652079,0.9975,0.996,shap_true_value
gisette,gradient_boosting,4,1000,shap_true_value,shap,true_value,,,100,0.2727,,,,,,
gisette,gradient_boosting,4,1000,shap_approx,shap,approximation,kernel,512.0,100,0.5057,280300.0,0.1008755350626494,0.0984698567470152,0.9525,0.962,shap_true_value
gisette,gradient_boosting,4,1000,shap_approx,shap,approximation,permutation,512.0,100,15.412,7707963.0,0.1023230501767742,0.0998828515414268,0.955,0.9600000000000002,shap_true_value
gisette,gradient_boosting,4,1000,shapiq_approx,shapiq,approximation,kernel,512.0,100,11.6772,160201.0,0.1165836162860994,0.1138033318743884,0.9525,0.958,shap_true_value
gisette,gradient_boosting,4,1000,shapiq_approx,shapiq,approximation,permutation,512.0,100,424.0809,5120201.0,0.1060602703854059,0.1035309465760401,0.9525,0.954,shap_true_value
gisette,gradient_boosting,4,1000,lightshap_approx,lightshap,approximation,kernel,512.0,100,15.8151,8880300.0,0.1099625944723453,0.1073402080940355,0.95,0.972,shap_true_value
gisette,gradient_boosting,4,1000,lightshap_approx,lightshap,approximation,permutation,512.0,100,13.8472,3407100.0,0.1054938005071948,0.1029779858633727,0.955,0.966,shap_true_value
gisette,gradient_boosting,4,1000,dalex_approx,dalex,approximation,permutation,512.0,100,99.5789,12820301.0,0.1090484148717903,0.1064478298355035,0.96,0.954,shap_true_value
gisette,random_forest,32,1000,shap_true_value,shap,true_value,,,100,1.2855,,,,,,
gisette,random_forest,32,1000,shap_approx,shap,approximation,kernel,512.0,100,20.281,10240300.0,0.0088067985731364,0.4335060989938012,0.999,0.790327601056604,shap_true_value
gisette,random_forest,32,1000,shap_approx,shap,approximation,permutation,512.0,100,21.5962,7376731.0,0.0025220740728309,0.1241466446185545,0.974375,0.9904655425219938,shap_true_value
gisette,random_forest,32,1000,shapiq_approx,shapiq,approximation,kernel,512.0,100,69.15,5120201.0,0.0068080986036474,0.3351220358593087,0.865,0.8963966275659823,shap_true_value
gisette,random_forest,32,1000,shapiq_approx,shapiq,approximation,permutation,512.0,100,331.4076,4980201.0,0.0034886576595655,0.1717257820947852,0.954375,0.9764442815249263,shap_true_value
gisette,random_forest,32,1000,lightshap_approx,lightshap,approximation,kernel,512.0,100,222.288,115419500.0,0.0026875291974726,0.1322910122961275,0.9609375,0.986198680351906,shap_true_value
gisette,random_forest,32,1000,lightshap_approx,lightshap,approximation,permutation,512.0,100,216.344,109902700.0,0.0020816343943208,0.1024664295792984,0.985625,0.9951796187683284,shap_true_value
gisette,random_forest,32,1000,dalex_approx,dalex,approximation,permutation,512.0,100,327.9623,10580301.0,0.002981807293453,0.1467765655137179,0.9665625,0.9848717008797654,shap_true_value
gisette,decision_tree,32,1000,shap_true_value,shap,true_value,,,100,0.0095,,,,,,
gisette,decision_tree,32,1000,shap_approx,shap,approximation,kernel,512.0,100,1.7978,10240300.0,0.0090297760455724,0.3488437811355179,0.9754098360655736,0.7427333655858044,shap_true_value
gisette,decision_tree,32,1000,shap_approx,shap,approximation,permutation,512.0,100,4.8793,7377839.0,0.0081322977517138,0.3141718557260083,0.9150695227358135,0.8921891573031903,shap_true_value
gisette,decision_tree,32,1000,shapiq_approx,shapiq,approximation,kernel,512.0,100,6.9225,5120201.0,0.0142101106236083,0.5489736063525241,0.7547508067407673,0.7307717143287433,shap_true_value
gisette,decision_tree,32,1000,shapiq_approx,shapiq,approximation,permutation,512.0,100,26.1169,4980201.0,0.0098278214558231,0.3796743551192663,0.8816035968527538,0.8650623433560136,shap_true_value
